model,family,div_coeff,log_p_correct,log_p_contrast,acc,n_samples
GPT2_51M_1.31B_USPTO,GPT2-51M,0.158,-5.812905626688532,-0.0659619054594299,,0
GPT2_51M_1.31B_PubMedAbs,GPT2-51M,0.168,-5.189982175555363,-0.0121733627954122,,0
GPT2_51M_1.31B_USPTOAndPubMedAbs,GPT2-51M,0.195,-5.96161009556988,-0.0785484917821613,,0
GPT2_51M_557M_USPTO,GPT2-51M,0.158,-6.30585375717691,-0.0716236362737201,,0
GPT2_51M_557M_PubMedAbs,GPT2-51M,0.168,-5.049745809707593,-0.0384691326880689,,0
GPT2_51M_557M_USPTOAndPubMedAbs,GPT2-51M,0.195,-4.990573001160884,-0.0493629135841239,,0
GPT2_117M_2.2B_USPTO,GPT2-117M,0.158,-4.966225343982543,-0.0337602855620071,,0
GPT2_117M_2.2B_PubMedAbs,GPT2-117M,0.168,-4.227508600477037,-0.0373827741140767,,0
GPT2_117M_2.2B_USPTOAndPubMedAbs,GPT2-117M,0.195,-5.086264926073745,-0.0241709418351825,,0
GPT2_204M_USPTO,GPT2-204M,0.158,-5.614415961628778,-0.0716772099389755,,0
GPT2_204M_PubMedAbs,GPT2-204M,0.168,-4.762167913445786,-0.0286971826371783,,0
GPT2_204M_USPTOAndPubMedAbs,GPT2-204M,0.195,-5.614415961628778,-0.0716772099389755,,0
GPT2_345M_2.2B_USPTO,GPT2-345M,0.158,-5.7079808890369605,-0.0898683760963387,,0
GPT2_345M_2.2B_PubMedAbs,GPT2-345M,0.168,-4.208906993594643,-0.0288906449867054,,0
GPT2_345M_2.2B_USPTOAndPubMedAbs,GPT2-345M,0.195,-6.003630960586998,-0.0926850298098144,,0
GPT2_810M_PubMedAbs,GPT2-810M,0.168,-5.199719527120553,-0.0671372188890398,,0
GPT2_810M_2.2B_USPTOAndPubMedAbs,GPT2-810M,0.195,-4.966225343982543,-0.0337602855620071,,0
GPT2_1.5B_180M_USPTO,GPT2-1.5B,0.158,-5.723810357265434,-0.0448815994881182,,0
GPT2_1.5B_180M_PubMedAbs,GPT2-1.5B,0.168,-4.4766955512776505,-0.020608995475021,,0
GPT2_1.5B_180M_USPTOAndPubMedAbs,GPT2-1.5B,0.195,-5.760222320100925,-0.0463821632210212,,0
LLama2_Uspto_Ckpt_1,LLaMA2-7B,0.158,-10.564312632887678,-0.014417987045714,,0
LLama2_Pubmed_Ckpt_2,LLaMA2-7B,0.168,-11.971374954597986,0.0156236793990036,,0
LLama2_Pubmed_Ckpt_7,LLaMA2-7B,0.168,-10.521650656219428,-0.0090255764584219,,0
LLama2_Uspto_Pubmed_Ckpt_3,LLaMA2-7B,0.195,-11.43701241923404,-0.00193607977515,,0
LLama2_Uspto_Pubmed_Ckpt_4,LLaMA2-7B,0.195,-11.65145778343593,-0.0628892841691368,,0
LLama2_Uspto_Pubmed_Ckpt_5,LLaMA2-7B,0.195,-12.208074777864216,0.0544167584584648,,0
LLama2_Uspto_Pubmed_Ckpt_6,LLaMA2-7B,0.195,-12.132759953237908,-0.0533389050651636,,0
